"team","conference","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM"
"Ohio Bobcats","MAC","37.8",94,"34.1",95,"46.3",87,"49.2",73,0.682522878202859,0.708278458512401,0.502233816036066,0.14165569170248
"Liberty Flames","CUSA","37.7",95,"47.0",78,"37.4",100,"36.5",107,0.708278458512401,0.27043359325019,0.837056360060111,1.0173454222269
"Florida State Seminoles","ACC","37.6",96,"27.1",108,"43.9",92,"77.1",6,0.734034038821943,1.04310100253645,0.631011717583776,-1.58396818903682
"Houston Cougars","Big 12","37.6",97,"19.0",121,"62.3",51,"52.6",64,0.759789619131485,1.37792354656049,-0.424967075107441,-0.0901445310833965
"Mississippi State Bulldogs","SEC","37.0",98,"46.7",80,"28.0",115,"70.1",18,0.785545199441027,0.321944753869273,1.22339006470324,-1.27490122532232
"Miami (OH) RedHawks","MAC","36.7",99,"25.3",109,"50.6",73,"60.1",42,0.811300779750569,1.06885658284599,0.14165569170248,-0.656767297893317
"Northwestern Wildcats","Big Ten","36.7",100,"18.7",122,"55.2",66,"74.7",11,0.837056360060111,1.40367912687003,-0.0386333704643128,-1.45519028748912
"Wake Forest Demon Deacons","ACC","34.8",101,"50.8",68,"23.6",124,"54.7",59,0.862811940369652,0.0128777901547709,1.45519028748912,-0.218922432631106
"Jacksonville State Gamecocks","CUSA","34.3",102,"46.8",79,"28.0",114,"60.4",40,0.888567520679194,0.296189173559731,1.1976344843937,-0.708278458512401
"New Mexico Lobos","Mountain West","32.9",103,"68.3",31,"12.5",132,"36.1",111,0.914323100988736,-0.940078681298278,1.66123492996545,1.12036774346507
"Florida International Panthers","CUSA","32.7",104,"23.3",114,"44.6",90,"61.3",38,0.940078681298278,1.1976344843937,0.579500556964692,-0.759789619131485
"Hawai'i Rainbow Warriors","Mountain West","31.0",105,"28.5",106,"35.8",103,"65.6",29,0.96583426160782,0.991589841917362,0.914323100988736,-0.991589841917362
"Louisiana Tech Bulldogs","CUSA","28.8",106,"10.5",133,"60.9",56,"51.4",69,0.991589841917362,1.68699051027499,-0.296189173559731,0.0386333704643128
"Florida Atlantic Owls","American","28.5",107,"21.5",117,"47.9",80,"39.1",100,1.0173454222269,1.27490122532232,0.321944753869273,0.837056360060111
"UTSA Roadrunners","American","28.0",108,"32.6",97,"35.4",104,"36.4",110,1.04310100253645,0.759789619131485,0.940078681298278,1.09461216315553
"Colorado State Rams","Mountain West","27.9",109,"17.2",124,"42.1",94,"70.8",17,1.06885658284599,1.45519028748912,0.682522878202859,-1.30065680563186
"Troy Trojans","Sun Belt","27.6",110,"43.6",83,"23.2",125,"42.8",96,1.09461216315553,0.399211494797899,1.48094586779866,0.734034038821943
"NC State Wolfpack","ACC","27.4",111,"19.3",120,"40.4",96,"65.1",31,1.12036774346507,1.35216796625095,0.734034038821943,-0.940078681298278
"UAB Blazers","American","27.3",112,"35.6",94,"27.6",117,"49.1",74,1.14612332377461,0.682522878202859,1.27490122532232,0.167411272012022
"App State Mountaineers","Sun Belt","27.2",113,"40.1",88,"22.6",126,"48.9",76,1.17187890408415,0.527989396345608,1.5067014481082,0.218922432631106
"Tulsa Golden Hurricane","American","27.2",114,"23.8",112,"40.0",97,"47.3",81,1.1976344843937,1.14612332377461,0.759789619131485,0.347700334178815
"Purdue Boilermakers","Big Ten","26.1",115,"18.5",123,"31.4",109,"80.5",1,1.22339006470324,1.42943470717957,1.06885658284599,-1.71274609058453
"Akron Zips","MAC","25.8",116,"25.1",111,"36.5",101,"43.0",94,1.24914564501278,1.12036774346507,0.862811940369652,0.682522878202859
"San Diego State Aztecs","Mountain West","25.4",117,"13.4",128,"46.6",85,"59.0",46,1.27490122532232,1.55821260872728,0.450722655416983,-0.55374497665515
"Central Michigan Chippewas","MAC","24.3",118,"38.9",91,"19.7",128,"50.1",72,1.30065680563186,0.605256137274234,1.55821260872728,0.115900111392938
"Georgia State Panthers","Sun Belt","24.0",119,"28.8",105,"29.3",113,"45.8",86,1.32641238594141,0.96583426160782,1.17187890408415,0.476478235726524
"Arkansas State Red Wolves","Sun Belt","23.4",120,"28.8",104,"30.6",111,"37.8",104,1.35216796625095,0.940078681298278,1.12036774346507,0.940078681298278
"Charlotte 49ers","American","21.5",121,"23.6",113,"24.1",122,"68.7",21,1.37792354656049,1.17187890408415,1.40367912687003,-1.1976344843937
"Air Force Falcons","Mountain West","20.5",122,"12.2",130,"47.6",82,"43.7",92,1.40367912687003,1.60972376934637,0.373455914488357,0.631011717583776
"Massachusetts Minutemen","FBS Indep.","18.9",123,"34.0",96,"27.3",119,"10.5",134,1.42943470717957,0.734034038821943,1.32641238594141,1.71274609058453
"Ball State Cardinals","MAC","18.4",124,"31.7",99,"11.7",134,"65.8",28,1.45519028748912,0.811300779750569,1.71274609058453,-1.0173454222269
"Wyoming Cowboys","Mountain West","17.6",125,"22.5",115,"25.1",121,"39.6",99,1.48094586779866,1.22339006470324,1.37792354656049,0.811300779750569
"Utah State Aggies","Mountain West","16.7",126,"30.3",101,"17.3",130,"37.9",103,1.5067014481082,0.862811940369652,1.60972376934637,0.914323100988736
"Temple Owls","American","16.0",127,"14.3",127,"27.1",120,"53.1",63,1.53245702841774,1.53245702841774,1.35216796625095,-0.115900111392938
"UTEP Miners","CUSA","15.6",128,"14.5",126,"35.0",105,"27.9",126,1.55821260872728,1.5067014481082,0.96583426160782,1.5067014481082
"Rice Owls","American","14.5",129,"19.7",119,"27.4",118,"21.7",133,1.58396818903682,1.32641238594141,1.30065680563186,1.68699051027499
"New Mexico State Aggies","CUSA","14.4",130,"13.3",129,"23.9",123,"55.1",57,1.60972376934637,1.58396818903682,1.42943470717957,-0.27043359325019
"Middle Tennessee Blue Raiders","CUSA","12.0",131,"20.1",118,"13.6",131,"63.0",36,1.63547934965591,1.30065680563186,1.63547934965591,-0.811300779750569
"Southern Miss Golden Eagles","Sun Belt","11.3",132,"16.7",125,"19.7",129,"35.0",114,1.66123492996545,1.48094586779866,1.58396818903682,1.1976344843937
"Kennesaw State Owls","CUSA","10.1",133,"7.0",134,"20.5",127,"79.7",3,1.68699051027499,1.71274609058453,1.53245702841774,-1.66123492996545
"Kent State Golden Flashes","MAC","7.0",134,"11.5",132,"11.7",133,"46.7",85,1.71274609058453,1.66123492996545,1.68699051027499,0.450722655416983
